 , ,SAN SEBASTIAN/IGUELDO,SPAIN,Lat:43.30N,Long:2.03W,Height:251 (m) ,
Year,Month,Mean Temp.,Max.Temp.(Monthly Mean),Min.Temp.(Monthly Mean),Precip.,Mean Temp. Normal,Precip. Normal, SPI 3-Month, SPI 6-Month, SPI 12-Month
,,[degC],[degC],[degC],[mm],[degC],[mm])
2019, 4, 11.8, 15.5, 8.2, 118, 11.9, 128.6, , , 
2019, 5, 12.9, 15.9, 9.9, 201, 14.7, 124.9, , , 
2019, 6, 17.5, 21.6, 13.3, 82, 17.2, 97.9, , , 
2019, 7, 20.0, 22.8, 17.1, 148, 19.1, 92.3, , , 
2019, 8, 20.0, 23.1, 16.8, 88, 19.9, 111.5, , , 
2019, 9, 18.4, 21.5, 15.2, 81, 18.0, 113.7, , , 
2019, 10, 16.9, 20.0, 13.8, 180, 15.6, 147.1, , , 
2019, 11, 10.8, 13.3, 8.2, 481, 11.5, 207.2, , , 
2019, 12, 11.2, 14.2, 8.2, 152, 9.5, 151.1, , , 
2020, 1, 9.8, 12.5, 7.0, 53, 8.6, 150.7, , , 
2020, 2, 12.1, 15.5, 8.8, 92, 8.7, 127.4, , , 
2020, 3, 10.5, 13.6, 7.4, 197, 10.6, 119.4, , , 
