"Date","Opponent","Attendance",""
"14/9/2019","Atlético Madrid","34,719"
"26/9/2019","Alavés","28,720"
"6/10/2019","Getafe","30,153"
"20/10/2019","Real Betis","28,032"
"30/10/2019","Levante","n/a"
"8/11/2019","Leganés","27,684"
"30/11/2019","Eibar","28,612"
"14/12/2019","Barcelona","36,639"
"5/1/2020","Villarreal","31,538"
"26/1/2020","Mallorca","29,912"
"9/2/2020","Athletic Bilbao","36,730"
"22/2/2020","Valencia","31,381"
"28/2/2020","Real Valladolid","30,611"
"14/6/2020","Osasuna","n/a"
"21/6/2020","Real Madrid","n/a"
"24/6/2020","Celta Vigo","n/a"
"2/7/2020","Espanyol","n/a"
"10/7/2020","Granada","n/a"
"16/7/2020","Sevilla","n/a"
